Rank	Word	Count	Frequency
379	subject	53	0.000274
380	notwithstanding	53	0.000274
381	once	53	0.000274
382	rest	53	0.000274
383	lodgings	53	0.000274
384	french	52	0.000269
385	resentment	52	0.000269
386	turned	52	0.000269
387	afterwards	52	0.000269
388	each	52	0.000269
389	continued	52	0.000269
390	coach	52	0.000269
391	view	51	0.000263
392	conduct	51	0.000263
393	discovered	51	0.000263
394	promised	51	0.000263
395	concern	51	0.000263
396	often	51	0.000263
397	still	51	0.000263
398	entertained	51	0.000263
399	surgeon	51	0.000263
400	hopes	51	0.000263
401	introduced	50	0.000258
402	circumstances	50	0.000258
403	kind	50	0.000258
404	danger	50	0.000258
405	herself	50	0.000258
406	heaven	50	0.000258
407	hearing	50	0.000258
408	advice	50	0.000258
409	body	50	0.000258
410	new	50	0.000258
411	just	50	0.000258
412	suffered	50	0.000258
413	voice	50	0.000258
414	thompson	50	0.000258
415	laid	49	0.000253
416	determined	49	0.000253
417	answer	49	0.000253
418	sword	49	0.000253
419	creature	49	0.000253
420	case	49	0.000253
421	ourselves	49	0.000253
422	banter	49	0.000253
423	paid	48	0.000248
424	fate	48	0.000248
425	london	48	0.000248
426	pleasure	48	0.000248
427	random	47	0.000243
428	course	47	0.000243
429	sight	47	0.000243
430	assistance	47	0.000243
431	stood	47	0.000243
432	information	47	0.000243
433	terms	46	0.000238
434	its	46	0.000238
435	justice	46	0.000238
436	remained	46	0.000238
437	fit	46	0.000238
438	clothes	46	0.000238
439	pay	46	0.000238
440	turn	46	0.000238
441	pronounced	46	0.000238
442	confusion	46	0.000238
443	nature	45	0.000232
444	family	45	0.000232
445	disposition	45	0.000232
446	met	45	0.000232
447	several	45	0.000232
448	able	45	0.000232
449	mother	45	0.000232
450	provided	45	0.000232
451	whether	45	0.000232
452	expressed	45	0.000232
453	going	45	0.000232
454	table	45	0.000232
455	near	44	0.000227
456	surprised	44	0.000227
457	convinced	44	0.000227
458	guineas	44	0.000227
459	story	43	0.000222
460	actually	43	0.000222
461	intention	43	0.000222
462	son	43	0.000222
463	lived	43	0.000222
464	kept	43	0.000222
465	always	43	0.000222
466	event	43	0.000222
467	above	43	0.000222
468	everything	43	0.000222
469	large	43	0.000222
470	yet	43	0.000222
471	further	43	0.000222
472	endeavoured	43	0.000222
473	either	43	0.000222
474	question	43	0.000222
475	surgeons	43	0.000222
476	williams	43	0.000222
477	passed	42	0.000217
478	brother	42	0.000217
479	ships	42	0.000217
480	air	42	0.000217
481	things	42	0.000217
482	side	42	0.000217
483	scarce	42	0.000217
484	refused	42	0.000217
485	melinda	42	0.000217
486	promise	41	0.000212
487	miserable	41	0.000212
488	dont	41	0.000212
489	quite	41	0.000212
490	inclination	41	0.000212
491	utmost	41	0.000212
492	resolution	41	0.000212
493	expectation	41	0.000212
494	possession	41	0.000212
495	lieutenant	41	0.000212
496	sure	41	0.000212
497	times	41	0.000212
498	ten	41	0.000212
499	notice	41	0.000212
500	mouth	41	0.000212
