Rank	Word	Count	Frequency
720	school	38	0.000142
721	moved	38	0.000142
722	rich	38	0.000142
723	mans	38	0.000142
724	smiling	38	0.000142
725	help	38	0.000142
726	front	38	0.000142
727	bar	38	0.000142
728	e	38	0.000142
729	beautiful	38	0.000142
730	beyond	38	0.000142
731	kernan	38	0.000142
732	hundred	38	0.000142
733	kitty	38	0.000142
734	bella	38	0.000142
735	5	37	0.000138
736	instant	37	0.000138
737	slow	37	0.000138
738	die	37	0.000138
739	memory	37	0.000138
740	song	37	0.000138
741	—well	37	0.000138
742	womans	37	0.000138
743	whether	37	0.000138
744	fresh	37	0.000138
745	laugh	37	0.000138
746	stopped	37	0.000138
747	either	37	0.000138
748	ball	37	0.000138
749	shakespeare	37	0.000138
750	reading	37	0.000138
751	everything	37	0.000138
752	return	37	0.000138
753	edy	37	0.000138
754	ad	36	0.000134
755	halted	36	0.000134
756	—he	36	0.000134
757	pray	36	0.000134
758	gaze	36	0.000134
759	waters	36	0.000134
760	singing	36	0.000134
761	stuck	36	0.000134
762	grave	36	0.000134
763	understand	36	0.000134
764	fellows	36	0.000134
765	raised	36	0.000134
766	quiet	36	0.000134
767	deep	36	0.000134
768	amid	36	0.000134
769	heaven	36	0.000134
770	eleven	36	0.000134
771	stick	36	0.000134
772	written	36	0.000134
773	lifted	36	0.000134
774	friends	36	0.000134
775	reason	36	0.000134
776	skirt	36	0.000134
777	ground	36	0.000134
778	cat	36	0.000134
779	reverend	36	0.000134
780	tommy	36	0.000134
781	flynn	36	0.000134
782	wyse	36	0.000134
783	eglinton	36	0.000134
784	during	36	0.000134
785	trouble	35	0.000131
786	loose	35	0.000131
787	dying	35	0.000131
788	skin	35	0.000131
789	—that	35	0.000131
790	laughter	35	0.000131
791	pity	35	0.000131
792	jesus	35	0.000131
793	field	35	0.000131
794	save	35	0.000131
795	moses	35	0.000131
796	sometimes	35	0.000131
797	known	35	0.000131
798	summer	35	0.000131
799	leg	35	0.000131
800	row	35	0.000131
801	hours	35	0.000131
802	sight	34	0.000127
803	top	34	0.000127
804	silence	34	0.000127
805	ancient	34	0.000127
806	ring	34	0.000127
807	wish	34	0.000127
808	loves	34	0.000127
809	sang	34	0.000127
810	sit	34	0.000127
811	french	34	0.000127
812	noone	34	0.000127
813	race	34	0.000127
814	lower	34	0.000127
815	less	34	0.000127
816	devil	34	0.000127
817	male	34	0.000127
818	probably	34	0.000127
819	funeral	34	0.000127
820	marion	34	0.000127
821	mcoy	34	0.000127
822	carriage	34	0.000127
823	hynes	34	0.000127
824	various	34	0.000127
825	sister	34	0.000127
826	almost	33	0.000123
827	quietly	33	0.000123
828	shoulder	33	0.000123
829	real	33	0.000123
830	softly	33	0.000123
831	floor	33	0.000123
832	living	33	0.000123
833	wild	33	0.000123
834	faces	33	0.000123
835	sin	33	0.000123
836	page	33	0.000123
837	buy	33	0.000123
838	pounds	33	0.000123
839	steps	33	0.000123
840	wet	33	0.000123
841	catch	33	0.000123
842	ears	33	0.000123
843	crown	33	0.000123
844	double	33	0.000123
845	whatever	33	0.000123
846	pretty	33	0.000123
847	h	33	0.000123
848	opposite	33	0.000123
849	hee	33	0.000123
850	gutenberg	32	0.000119
851	strong	32	0.000119
852	middle	32	0.000119
853	aside	32	0.000119
854	secret	32	0.000119
855	wine	32	0.000119
856	—no	32	0.000119
857	fathers	32	0.000119
858	queen	32	0.000119
859	throw	32	0.000119
860	waves	32	0.000119
861	sand	32	0.000119
862	ran	32	0.000119
863	rain	32	0.000119
864	w	32	0.000119
865	soon	32	0.000119
866	flowers	32	0.000119
867	cross	32	0.000119
868	hate	32	0.000119
869	usual	32	0.000119
870	turns	32	0.000119
871	goulding	32	0.000119
872	stands	32	0.000119
873	nosey	32	0.000119
874	kennedy	32	0.000119
875	james	31	0.000116
876	shut	31	0.000116
877	youll	31	0.000116
878	seeing	31	0.000116
879	worse	31	0.000116
880	speech	31	0.000116
881	national	31	0.000116
882	happy	31	0.000116
883	shoulders	31	0.000116
884	youth	31	0.000116
885	sign	31	0.000116
886	thousand	31	0.000116
887	thee	31	0.000116
888	scene	31	0.000116
889	liked	31	0.000116
890	george	31	0.000116
891	pleasure	31	0.000116
892	dr	31	0.000116
893	baby	31	0.000116
894	birth	31	0.000116
895	£	31	0.000116
896	several	31	0.000116
897	attention	30	0.000112
898	legs	30	0.000112
899	broke	30	0.000112
900	isnt	30	0.000112
901	shirt	30	0.000112
902	loudly	30	0.000112
903	kitchen	30	0.000112
904	meeting	30	0.000112
905	paris	30	0.000112
906	grand	30	0.000112
907	rising	30	0.000112
908	seems	30	0.000112
909	stars	30	0.000112
910	host	30	0.000112
911	clothes	30	0.000112
912	story	30	0.000112
913	—who	30	0.000112
914	lie	30	0.000112
915	press	30	0.000112
916	heads	30	0.000112
917	places	30	0.000112
918	close	30	0.000112
919	tight	30	0.000112
920	received	30	0.000112
921	grace	30	0.000112
922	coffin	30	0.000112
923	worth	30	0.000112
924	davy	30	0.000112
925	english	29	0.000108
926	breast	29	0.000108
927	feeling	29	0.000108
928	indeed	29	0.000108
929	third	29	0.000108
930	simple	29	0.000108
931	jew	29	0.000108
932	handed	29	0.000108
933	space	29	0.000108
934	ay	29	0.000108
935	loved	29	0.000108
936	gate	29	0.000108
937	easy	29	0.000108
938	christ	29	0.000108
939	cause	29	0.000108
940	following	29	0.000108
941	bought	29	0.000108
942	meat	29	0.000108
943	piece	29	0.000108
944	asking	29	0.000108
945	hanging	29	0.000108
946	certainly	29	0.000108
947	played	29	0.000108
948	luck	29	0.000108
949	fashion	29	0.000108
950	gentlemen	29	0.000108
951	seemed	29	0.000108
952	begat	29	0.000108
953	kinch	28	0.000104
954	twenty	28	0.000104
955	mass	28	0.000104
956	spirit	28	0.000104
957	mothers	28	0.000104
958	souls	28	0.000104
959	doorway	28	0.000104
960	butter	28	0.000104
961	watched	28	0.000104
962	putting	28	0.000104
963	sense	28	0.000104
964	plain	28	0.000104
965	jews	28	0.000104
966	town	28	0.000104
967	closed	28	0.000104
968	coat	28	0.000104
969	tomorrow	28	0.000104
970	gives	28	0.000104
971	burke	28	0.000104
972	park	28	0.000104
973	pure	28	0.000104
974	suit	28	0.000104
975	writing	28	0.000104
976	quay	28	0.000104
977	honourable	28	0.000104
978	patrick	28	0.000104
979	holds	28	0.000104
980	lamp	28	0.000104
981	gob	28	0.000104
982	carr	28	0.000104
983	thinks	27	0.000101
984	pockets	27	0.000101
985	voices	27	0.000101
986	doctor	27	0.000101
987	tall	27	0.000101
988	wheres	27	0.000101
989	bag	27	0.000101
990	lines	27	0.000101
991	common	27	0.000101
992	drank	27	0.000101
993	sides	27	0.000101
994	easily	27	0.000101
995	truth	27	0.000101
996	bore	27	0.000101
997	week	27	0.000101
998	knock	27	0.000101
999	lived	27	0.000101
1000	kings	27	0.000101
1001	seated	27	0.000101
1002	horses	27	0.000101
1003	led	27	0.000101
1004	bell	27	0.000101
1005	queer	27	0.000101
1006	spanish	27	0.000101
1007	faith	27	0.000101
1008	false	27	0.000101
1009	windows	27	0.000101
1010	cool	27	0.000101
1011	bottle	27	0.000101
1012	garden	27	0.000101
1013	piano	27	0.000101
1014	london	27	0.000101
1015	tiny	27	0.000101
1016	martha	27	0.000101
1017	fool	27	0.000101
1018	beard	27	0.000101
1019	bottom	27	0.000101
1020	ho	27	0.000101
1021	appears	27	0.000101
1022	electronic	27	0.000101
1023	3	26	0.000097
1024	crossed	26	0.000097
1025	tower	26	0.000097
1026	malachi	26	0.000097
1027	giving	26	0.000097
1028	dull	26	0.000097
1029	wear	26	0.000097
1030	drunk	26	0.000097
1031	showing	26	0.000097
1032	names	26	0.000097
1033	food	26	0.000097
1034	—is	26	0.000097
1035	sound	26	0.000097
1036	thank	26	0.000097
1037	hadnt	26	0.000097
1038	month	26	0.000097
1039	ashplant	26	0.000097
1040	thomas	26	0.000097
1041	ghost	26	0.000097
1042	mourning	26	0.000097
1043	hole	26	0.000097
1044	history	26	0.000097
1045	afraid	26	0.000097
1046	bull	26	0.000097
1047	opened	26	0.000097
1048	step	26	0.000097
1049	prince	26	0.000097
1050	literary	26	0.000097
1051	keys	26	0.000097
1052	hats	26	0.000097
1053	learn	26	0.000097
1054	trees	26	0.000097
1055	bald	26	0.000097
1056	belly	26	0.000097
1057	listen	26	0.000097
1058	houses	26	0.000097
1059	f	26	0.000097
1060	rocks	26	0.000097
1061	lives	26	0.000097
1062	rolled	26	0.000097
1063	straight	26	0.000097
1064	l	26	0.000097
1065	months	26	0.000097
1066	college	26	0.000097
1067	ward	26	0.000097
1068	tears	26	0.000097
1069	editor	26	0.000097
1070	rev	26	0.000097
1071	boardman	26	0.000097
1072	united	25	0.000093
1073	4	25	0.000093
1074	bearing	25	0.000093
1075	—come	25	0.000093
1076	tone	25	0.000093
1077	manner	25	0.000093
1078	handkerchief	25	0.000093
1079	gazed	25	0.000093
1080	bay	25	0.000093
1081	lightly	25	0.000093
1082	forgotten	25	0.000093
