Rank	Word	Count	Frequency
510	spirits	9	0.000227
511	saying	9	0.000227
512	hastened	9	0.000227
513	patience	9	0.000227
514	silent	9	0.000227
515	feel	9	0.000227
516	pardon	9	0.000227
517	remember	9	0.000227
518	sanctuary	9	0.000227
519	friars	9	0.000227
520	union	9	0.000227
521	principality	9	0.000227
522	point	9	0.000227
523	receive	9	0.000227
524	canst	9	0.000227
525	claim	9	0.000227
526	faint	9	0.000227
527	ricardo	9	0.000227
528	greatness	9	0.000227
529	bless	9	0.000227
530	including	9	0.000227
531	agree	9	0.000227
532	picture	8	0.000202
533	written	8	0.000202
534	family	8	0.000202
535	black	8	0.000202
536	beyond	8	0.000202
537	air	8	0.000202
538	allow	8	0.000202
539	directly	8	0.000202
540	discover	8	0.000202
541	piety	8	0.000202
542	excellent	8	0.000202
543	rising	8	0.000202
544	care	8	0.000202
545	tender	8	0.000202
546	guard	8	0.000202
547	disposition	8	0.000202
548	permit	8	0.000202
549	impatience	8	0.000202
550	danger	8	0.000202
551	delay	8	0.000202
552	retire	8	0.000202
553	mouth	8	0.000202
554	anxious	8	0.000202
555	alarmed	8	0.000202
556	strange	8	0.000202
557	beheld	8	0.000202
558	casque	8	0.000202
559	object	8	0.000202
560	except	8	0.000202
561	equal	8	0.000202
562	guilty	8	0.000202
563	hold	8	0.000202
564	assured	8	0.000202
565	mothers	8	0.000202
566	lovely	8	0.000202
567	arrived	8	0.000202
568	rather	8	0.000202
569	accompanied	8	0.000202
570	matildas	8	0.000202
571	pursue	8	0.000202
572	sound	8	0.000202
573	pursuit	8	0.000202
574	look	8	0.000202
575	uttered	8	0.000202
576	quit	8	0.000202
577	prepare	8	0.000202
578	reach	8	0.000202
579	altar	8	0.000202
580	proceed	8	0.000202
581	unless	8	0.000202
582	possible	8	0.000202
583	eagerly	8	0.000202
584	fear	8	0.000202
585	resentment	8	0.000202
586	generous	8	0.000202
587	taking	8	0.000202
588	giant	8	0.000202
589	below	8	0.000202
590	command	8	0.000202
591	yourself	8	0.000202
592	affected	8	0.000202
593	save	8	0.000202
594	persuaded	8	0.000202
595	secrets	8	0.000202
596	blessed	8	0.000202
597	guilt	8	0.000202
598	scruples	8	0.000202
599	paid	8	0.000202
600	tyrant	8	0.000202
601	vicenza	8	0.000202
602	feet	8	0.000202
603	theodores	8	0.000202
604	fee	8	0.000202
605	located	7	0.000177
606	country	7	0.000177
607	using	7	0.000177
608	friendship	7	0.000177
609	small	7	0.000177
610	men	7	0.000177
611	turned	7	0.000177
612	near	7	0.000177
613	dream	7	0.000177
614	gigantic	7	0.000177
615	knowing	7	0.000177
616	general	7	0.000177
617	interest	7	0.000177
618	sooner	7	0.000177
619	circumstance	7	0.000177
620	offered	7	0.000177
621	faithful	7	0.000177
622	catastrophe	7	0.000177
623	observed	7	0.000177
624	cast	7	0.000177
625	favour	7	0.000177
626	direct	7	0.000177
627	virtue	7	0.000177
628	human	7	0.000177
629	utter	7	0.000177
630	pass	7	0.000177
631	servant	7	0.000177
632	manner	7	0.000177
633	assist	7	0.000177
634	raise	7	0.000177
635	vision	7	0.000177
636	touched	7	0.000177
637	ladies	7	0.000177
638	princesses	7	0.000177
639	assistance	7	0.000177
640	circumstances	7	0.000177
641	scarce	7	0.000177
642	promised	7	0.000177
643	either	7	0.000177
644	tomb	7	0.000177
645	led	7	0.000177
646	absence	7	0.000177
647	prisoner	7	0.000177
648	opened	7	0.000177
649	hastily	7	0.000177
650	bear	7	0.000177
651	women	7	0.000177
652	trembling	7	0.000177
